Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0051~Antiviral defense	37	16.08695652173913	4.043786730635244E-35	IFITM3, IFITM1, UNC93B1, IFIT5, IFI6, ADAR, IFIT1, DDX60, IFI44L, IFIT3, IFIT2, OASL, IFIH1, HERC5, TRIM5, DHX58, GBP1, TRIM22, APOBEC3F, APOBEC3G, RSAD2, STAT1, STAT2, MX2, MX1, EIF2AK2, TICAM1, PML, ISG20, BST2, PLSCR1, OAS1, OAS2, IRF1, OAS3, IRF7, IRF9	169	87	6343	15.96211657484867	3.0732779152827855E-33	3.0732779152827855E-33	2.9924021806700808E-33
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	43	18.695652173913043	3.5106073166676034E-34	IFITM3, RTP4, IFITM1, CD40, UNC93B1, IFIT5, IFI6, ADAR, IFIT1, DDX60, IFI44L, IFIT3, IFIT2, OASL, IFIH1, HERC5, IFI16, TRIM5, CASP1, GBP2, GBP1, TRIM22, APOBEC3F, APOBEC3G, RSAD2, STAT1, STAT2, MX2, MX1, EIF2AK2, TICAM1, ISG20, BST2, PLSCR1, AIM2, OAS1, OAS2, IRF1, OAS3, IRF2, IRF7, TLR7, IRF9	226	152	9653	12.08311015370284	5.585376240818157E-31	5.585376240818157E-31	5.487079235951464E-31
UP_KW_BIOLOGICAL_PROCESS	KW-0391~Immunity	59	25.65217391304348	2.7811168693358584E-29	IFITM3, FCN1, CD40, IFITM1, IFIT5, ADAR, IFI35, IFIT1, IFIT3, OASL, IFIT2, IFIH1, HERC5, TRIM5, LAMP3, DHX58, TRIM26, FFAR2, RSAD2, BTN3A1, CD300A, RIPK2, BTN3A3, TICAM1, TYROBP, AIM2, OAS1, OAS2, IRF1, OAS3, IRF7, SERPING1, TLR7, CD300C, C1QB, SRC, UNC93B1, IFI6, TAPBPL, NOD2, DDX60, IFI16, GBP2, GBP1, MICB, GSDMD, APOBEC3F, APOBEC3G, MX2, MX1, EIF2AK2, LILRB4, PSMB8, PML, PSMB9, BST2, ISG20, MARCO, NAGK	169	395	6343	5.606126881881507	2.1136488206952522E-27	1.0568244103476261E-27	1.0290132416542676E-27
UP_KW_BIOLOGICAL_PROCESS	KW-0399~Innate immunity	45	19.565217391304348	1.643858660107161E-23	C1QB, IFITM3, FCN1, IFITM1, UNC93B1, IFIT5, IFI6, ADAR, IFI35, NOD2, IFIT1, DDX60, IFIT3, IFIT2, OASL, IFIH1, HERC5, IFI16, TRIM5, DHX58, TRIM26, GBP2, GBP1, GSDMD, APOBEC3F, APOBEC3G, RSAD2, RIPK2, MX2, MX1, EIF2AK2, TICAM1, PML, ISG20, BST2, MARCO, NAGK, AIM2, OAS1, OAS2, IRF1, OAS3, IRF7, SERPING1, TLR7	169	274	6343	6.164104003800804	1.2493325816814423E-21	4.1644419389381407E-22	4.054851361597664E-22
GOTERM_BP_DIRECT	GO:0045071~negative regulation of viral genome replication	20	8.695652173913043	2.6652569079524964E-22	IFITM3, IFITM1, APOBEC3F, APOBEC3G, RSAD2, MX1, IFIT5, EIF2AK2, IFIT1, TNF, OASL, IFIH1, BST2, ISG20, FAM111A, PLSCR1, IFI16, OAS1, OAS2, OAS3	226	36	9653	23.729105211406093	4.240423740552422E-19	2.120211870276211E-19	2.082898273564876E-19
GOTERM_BP_DIRECT	GO:0045087~innate immune response	43	18.695652173913043	1.0774031060045251E-20	C1QB, UNC93B1, SRC, IFIT5, IFI6, UBE2L6, ADAR, IFI35, NOD2, DDX60, RELB, OASL, IFIH1, HERC5, IFI16, TRIM5, DHX58, TRIM26, GBP2, GBP1, TRIM21, TRIM22, GSDMD, APOBEC3F, APOBEC3G, RSAD2, RIPK2, MX2, MX1, CYBB, TICAM1, PML, ISG20, BST2, MARCO, NAGK, AIM2, OAS1, OAS2, OAS3, IRF7, SERPING1, TLR7	226	317	9653	5.793794143100416	1.7141483416531995E-17	5.7138278055106654E-18	5.613270182283576E-18
GOTERM_BP_DIRECT	GO:0009615~response to virus	24	10.434782608695652	5.892440206562952E-18	IFITM3, IFITM1, RSAD2, MX2, MX1, IFI44, EIF2AK2, ADAR, IFIT1, DDX60, TNF, IFIT3, IFIT2, OASL, IFIH1, BST2, ISG20, OAS1, OAS2, NPC2, OAS3, DHX58, IRF7, TRIM22	226	92	9653	11.142362447095037	9.374872368641658E-15	2.3437180921604144E-15	2.3024710107144736E-15
KEGG_PATHWAY	hsa05164:Influenza A	23	10.0	4.535264194596492E-13	CIITA, RSAD2, CALCOCO2, STAT1, STAT2, MX2, MX1, EIF2AK2, ADAR, TICAM1, TNF, PML, IFIH1, CXCL10, OAS1, OAS2, OAS3, CASP1, TNFSF10, IRF7, TLR7, IRF9, NFKBIB	139	128	5443	7.036252248201438	1.0476453038421596E-10	1.0476460289517897E-10	9.977581228112283E-11
GOTERM_BP_DIRECT	GO:0034341~response to type II interferon	11	4.782608695652174	5.845403210925442E-12	IFITM3, BST2, SP100, CIITA, IFITM1, CD40, GCH1, CALCOCO2, STAT1, KYNU, TRIM21	226	20	9653	23.491814159292034	9.300087477903674E-9	1.8600073017164757E-9	1.8272730437352934E-9
KEGG_PATHWAY	hsa04621:NOD-like receptor signaling pathway	22	9.565217391304348	7.739526252577563E-12	GSDMD, STAT1, RIPK2, STAT2, CYBB, NOD2, TICAM1, TNF, P2RX7, AIM2, IFI16, CASP5, OAS1, OAS2, OAS3, CASP1, IRF7, RBCK1, GBP2, GBP1, IRF9, NFKBIB	139	132	5443	6.526378896882494	1.787818892928783E-9	8.939152821727085E-10	8.513478877835319E-10
