"marker","delta","sd","weight","p_adjusted","chaussabel","BTM"
"psme1","-0.037 (-1, -0.011)",0.016,27.12,"6.4e-105","M15.11 - TBD; M15.57 - TBD",NA
"npc2","-0.035 (-1, -0.009)",0.016,28.8,"1.2e-104","M13.11 - TBD","lysosomal/endosomal proteins (M139)"
"vamp5","-0.03 (-1, -0.004)",0.016,33.07,"7.4e-98","M14.10 - TBD",NA
"myof","-0.023 (-1, 0.005)",0.017,43.88,"9.6e-87",NA,"cell cycle and transcription (M4.0); myeloid cell enriched receptors and transporters (M4.3); enriched in monocytes (II) (M11.0)"
"wars1","-0.026 (-1, 0.002)",0.017,37.99,"6.4e-84",NA,NA
"ube2l6","-0.026 (-1, 0.005)",0.018,38.82,"8.4e-72","M13.17 - Interferon; M15.86 - Interferon",NA
"serping1","-0.022 (-1, 0.009)",0.019,45.91,"1.8e-66","M15.127 - Interferon","cell activation (IL15, IL23, TNF) (M24); activated dendritic cells (M67); antiviral IFN signature (M75); complement activation (I) (M112.0); enriched in activated dendritic cells (II) (M165)"
"sco2","-0.017 (-1, 0.015)",0.019,60.23,"9.8e-64","M10.1 - Interferon",NA
"stat1","-0.019 (-1, 0.013)",0.019,53.15,"1.0e-62","M10.1 - Interferon","type I interferon response (M127)"
"ifi35","-0.018 (-1, 0.015)",0.02,56.37,"1.4e-58","M10.1 - Interferon","viral sensing & immunity; IRF2 targets network (I) (M111.0)"
"stat2","-0.016 (-1, 0.018)",0.02,63.61,"6.3e-56","M13.17 - Interferon",NA
"gbp1","-0.011 (-1, 0.023)",0.02,91.56,"2.6e-53","M10.1 - Interferon",NA
"rhbdf2","-0.008 (-1, 0.027)",0.021,120.92,"1.6e-48","M15.37 - Inflammation; M15.64 - Interferon; M16.46 - TBD",NA
"gbp2","-0.004 (-1, 0.032)",0.022,277.89,"2.0e-45","M13.17 - Interferon",NA
"tymp","-0.004 (-1, 0.032)",0.022,255.48,"7.4e-44",NA,"cell cycle and transcription (M4.0); enriched in monocytes (II) (M11.0)"
"irf7","-0.003 (-1, 0.033)",0.022,337.02,"1.7e-43","M10.1 - Interferon","innate activation by cytosolic DNA sensing (M13); activated dendritic cells (M67); RIG-1 like receptor signaling (M68); antiviral IFN signature (M75); type I interferon response (M127); innate antiviral response (M150)"
"xaf1","0.003 (-1, 0.04)",0.022,304.62,"4.3e-41","M8.3 - Type 1 Interferon",NA
"adap2","0.009 (-1, 0.045)",0.022,105.6,"3.8e-40",NA,"regulation of signal transduction (M3); enriched in monocytes (II) (M11.0); immune activation - generic cluster (M37.0); TBA (M66)"
"atf5","0.008 (-1, 0.045)",0.023,133.11,"7.4e-38","M15.23 - Cell death",NA
"sp140","0.004 (-1, 0.042)",0.023,243.69,"2.5e-37","M15.86 - Interferon; M16.68 - Protein synthesis","T cell activation (II) (M7.3); enriched in B cells (II) (M47.1)"
"mafb","0.005 (-1, 0.043)",0.023,214.05,"1.3e-36","M12.2 - Monocytes","cell cycle and transcription (M4.0); enriched in monocytes (II) (M11.0); TBA (M66)"
"p2ry14","0.012 (-1, 0.05)",0.023,81.23,"2.1e-35","M16.49 - Inflammation","Naive B cell surface signature (S8)"
"rbck1","0.012 (-1, 0.051)",0.023,80.82,"1.2e-34","M13.15 - Gene transcription; M14.9 - TBD",NA
"epb41l3","0.015 (-1, 0.054)",0.023,64.65,"4.4e-34","M12.2 - Monocytes","cell cycle and transcription (M4.0); cell junction (GO) (M4.13); enriched in monocytes (I) (M4.15); enriched in monocytes (II) (M11.0)"
"tlr7","0.019 (-1, 0.057)",0.023,52.62,"5.5e-34","M14.64 - Cell cycle","regulation of antigen presentation and immune response (M5.0); TLR and inflammatory signaling (M16); immune activation - generic cluster (M37.0); endoplasmic reticulum (M37.2); enriched in myeloid cells and monocytes (M81); viral sensing & immunity; IRF2 targets network (I) (M111.0); MHC-TLR7-TLR8 cluster (M146)"
"gch1","0.015 (-1, 0.054)",0.023,65.45,"7.8e-34","M16.6 - Monocytes; M16.15 - Cell death; M16.30 - Complement","chemokines and inflammatory molecules in myeloid cells (M86.0); proinflammatory dendritic cell, myeloid cell response (M86.1)"
